Course,Instructor,Term,Title,NetId
ECE-329,"Fliflet, Arne W",2014-fa,Fields and Waves I,afliflet
ECE-206,"Zhang, Jianhua",2010-sp,Elec & Electronic Circuits Lab,jhdzhang
ECE-510,"Jain, Kanti",2012-fa,Micro and Nanolithography,kjain
ECE-316,"Hillmer, Philip M",2014-fa,Ethics and Engineering,hillmer
ECE-527,"Chen, Deming",2013-fa,System-On-Chip Design,dchen
ECE-313,"Zhao, Zhizhen",2017-fa,Probability with Engrg Applic,zhizhenz
ECE-445,"Carney, Paul S",2015-fa,Senior Design Project Lab,
ECE-220,"Chen, Yuting W",2017-sp,Computer Systems & Programming,ywchen
ECE-110,"Schmitz, Christopher",2014-fa,Introduction to Electronics,cdschmit
ECE-343,"Radhakrishnan, Chandrasek",2016-sp,Electronic Circuits Laboratory,
ECE-451,"Schutt-Aine, Jose E",2013-fa,Adv Microwave Measurements,jesa
ECE-420,"Allen, Jont",2016-sp,Embedded DSP Laboratory,jontalle
ECE-391,"Kalbarczyk, Zbigniew T",2016-fa,Computer Systems Engineering,kalbarcz
ECE-511,"Kim, Nam Sung",2016-fa,Computer Architecture,
ECE-402,"Haken, Lippold",2016-sp,Electronic Music Synthesis,l-haken
ECE-464,"Banerjee, Arijit",2017-fa,Power Electronics,arijit
ECE-411,"Kumar, Rakesh",2011-sp,Computer Organization & Design,rakeshk
ECE-443,"Zhang, Jianhua",2010-fa,Electronic Circuits Laboratory,jhdzhang
ECE-425,"Wong, Martin D",2013-fa,Intro to VLSI System Design,mdfwong
ECE-342,"Shanbhag, Naresh R",2011-fa,Electronic Circuits,shanbhag
ECE-515,"LaViers Minnick, Amy E",2016-sp,Control System Theory & Design,
ECE-205,"Mohamed, Mohamed Y",2012-sp,Elec & Electronic Circuits,
ECE-316,"Hillmer, Philip M",2010-sp,Ethics and Engineering,hillmer
ECE-395,"Haken, Lippold",2014-sp,Advanced Digital Projects Lab,l-haken
ECE-210,"Eden, James G",2015-sp,Analog Signal Processing,
ECE-101,"Schmitz, Christopher",2010-fa,Exploring Digital Info Technol,cdschmit
ECE-402,"Haken, Lippold",2010-fa,Electronic Music Synthesis,l-haken
ECE-490,"Kiyavash, Negar",2015-sp,Introduction to Optimization,
ECE-563,"Moulin, Pierre",2012-fa,Information Theory,pmoulin
ECE-451,"Schutt-Aine, Jose E",2014-fa,Adv Microwave Measurements,jesa
ECE-470,"Belabbas, Mohamed Ali",2018-fa,Introduction to Robotics,belabbas
ECE-417,"Hasegawa-Johnso, Mark A",2017-fa,Multimedia Signal Processing,
ECE-457,"Gong, Songbin",2017-sp,Microwave Devices & Circuits,songbin
ECE-310,"Bresler, Yoram",2013-fa,Digital Signal Processing,ybresler
ECE-110,"Minin, Serge",2015-sp,Introduction to Electronics,
ECE-541,"Sanders, William H",2014-fa,Computer Systems Analysis,whs
ECE-528,"Liberzon, Daniel M",2015-sp,Analysis of Nonlinear Systems,liberzon
ECE-550,"Hutchinson, Seth A",2016-sp,Advanced Robotic Planning,seth
ECE-444,"Li, Xiuling",2018-fa,IC Device Theory & Fabrication,xiuling
ECE-333,"Dominguez-Garci, Alejandr",2011-sp,Green Electric Energy,
ECE-210,"Hasegawa-Johnso, Mark A",2015-fa,Analog Signal Processing,
ECE-534,"Srikant, Rayadurgam",2013-sp,Random Processes,rsrikant
ECE-586,"Srikant, Rayadurgam",2011-fa,Topics in Decision and Control,rsrikant
ECE-410,"Ahuja, Narendra",2010-sp,Digital Signal Processing I,n-ahuja
ECE-311,"Singer, Andrew C",2014-fa,Digital Signal Processing Lab,acsinger
ECE-110,"Schmitz, Christopher",2017-fa,Introduction to Electronics,cdschmit
